net,length_um
_10871_,350.78
_05401_,350.46
net270,349.55
net117,348.44
_06197_,347.42
_07810_,346.76
_04068_,346.56
net315,346.24
_01433_,345.26
_13130_,345.12
net259,344.72
_05419_,343.93
net334,343.88
_09390_,343.42
net25,343.09
_09399_,343.04
_02397_,342.14
_03915_,341.79
_03927_,340.34
net114,339.48
net300,339.28
_05884_,337.7
_11669_,337.61
_13152_,337.45
clknet_4_8__leaf_clk,337.36
net517,337.24
_02108_,336.805
net400,336.42
clknet_4_7__leaf_clk,335.81
net173,335.14
_10058_,335
net547,334.96
net271,334.835
_06234_,334.76
net458,334.14
_04542_,333.79
_08639_,332.73
_07739_,332.42
net507,332.33
_11229_,331.78
net269,331.72
_06266_,331.62
_04113_,331.52
net276,330.68
net236,330.48
_06168_,329.73
_09441_,329.66
_10882_,328.94
net579,328.885
_07814_,328.8
net60,328.62
_07161_,328.5
net143,327.62
_07726_,327.24
net285,326.66
_10299_,325.52
_05863_,325.49
net274,324.895
net359,323.76
net134,323.55
_06999_,322.81
clknet_4_6__leaf_clk,322.18
net69,322.075
clknet_4_12__leaf_clk,321.74
net542,321.12
_06222_,321.07
_06215_,320.88
_07740_,319.98
net65,319.94
_08486_,319.62
_02343_,319.34
net179,319.135
net344,318.36
net207,317.94
net17,317.16
_09404_,316.38
net404,316.01
_06274_,315.96
net133,315.75
_06241_,314.65
net427,314.62
net562,313.04
net76,312.4
net365,312.29
net352,311.56
_01414_,310.64
net385,310.2
_06261_,309.56
net220,309.52
net405,309.12
_05396_,308.55
_08573_,308.16
_05388_,307.99
_08660_,307.79
net617,307.52
_03913_,307.31
net433,307.3
net164,306.52
clknet_4_10__leaf_clk,306.405
_01555_,305.96
_09435_,305.58
_06104_,304.36
_09347_,304
_07823_,303.465
clknet_2_3_0_clk,303.39
net202,303.16
clknet_4_13__leaf_clk,302.8
clknet_4_4__leaf_clk,302.31
clknet_2_0_0_clk,302.14
_05711_,301.64
_05444_,301.06
_08008_,300.58
_07807_,300.3
_03177_,299.12
_06873_,298.53
_00081_,298.225
_09398_,297.3
net430,297.18
_02338_,297.015
_06361_,296.47
_07819_,295.9
net166,295.18
_01499_,294.74
_03061_,294.46
_06245_,293.9
_03808_,293.82
net129,293.64
net370,293.56
net124,293.52
_03809_,292.85
_07088_,291.96
net502,291.82
net567,291.52
_04265_,291.21
net419,290.72
_10990_,290.595
net263,289.34
_10182_,289.32
net235,289.22
net72,289.16
_02333_,287.71
_05450_,287.58
net540,287.04
_02348_,286.69
_04314_,286.115
_06270_,286.045
_10855_,285.605
_05954_,285.08
_10878_,284.68
_10996_,283.755
net52,283.46
clknet_2_2_0_clk,283.46
_11728_,283.27
net474,282.84
net466,282.67
_06146_,282.46
net326,281.02
clknet_2_1_0_clk,280.98
net142,280.6
_00789_,280.16
net429,280.09
_10195_,280.07
_00790_,280.025
_07146_,279.56
_05352_,279.46
net27,279
net388,278.53
net211,278.4
skew_ctrl.a_sr\[6\]\[1\],278.33
net116,277.57
_06256_,277.54
net216,276.68
_02358_,276.455
net153,276.4
net366,276.4
net210,276.29
net92,274.68
_02297_,273.9
net152,273.2
net480,272.8
_11662_,272.69
_03101_,272.66
net176,272.02
_06191_,271.81
net475,270.94
_01394_,270.72
net395,270.38
_11540_,269.3
net205,269.28
net249,268.45
net67,268.2
net49,267.31
net165,266.54
_06902_,266.005
_06157_,265.205
net469,263.92
_05953_,263.86
_02353_,263.17
_08565_,261.95
_11833_,261.8
_08067_,261.375
net332,261.12
net545,260.96
_05362_,259.54
_04512_,259.13
_05446_,259.115
clknet_4_1__leaf_clk,258.8
_03099_,258.22
_08642_,258.15
_02346_,256.72
net233,255.42
_02109_,255.095
net261,254.78
_01910_,254.48
net465,253.55
_07880_,252.95
_00084_,252.865
_08653_,252.62
_01571_,252.29
net471,251.42
_06277_,250.64
_06251_,250.3
net296,250.18
_08644_,249.825
net230,248.76
_03910_,248.63
net514,247.9
_00082_,246.34
net185,246.32
_01569_,246.295
